text_or_url,label
"Expert insights from Uplatform", "kicker"
"Mastering customer journey mapping: 4 pitfalls to avoid","title"
"https://www.yogonet.com/international/news/2025/08/06/113953-bet365-officially-launches-online-sportsbook-in-kansas","link"
"https://imagenesyogonet.b-cdn.net/data/imagenes/2023/01/06/51492/1673029400-bet365-generica-02.jpg","image"
"2032 goal on track","kicker"
"Zitro slashes non-recyclable waste by 73% in 2024","title"
"https://www.yogonet.com/international/news/2025/08/06/113859-zitro-slashes-nonrecyclable-waste-by-73-in-2024","link"
"https://imagenesyogonet.b-cdn.net/data/imagenes/2025/08/05/78165/1754407359-zitro-reduce-73-no-reciclable-2022-eng.jpg","image"
"10,000x win potential","kicker"
"Pragmatic Play launches horror-themed Zombie School Megaways slot","title"
"https://www.yogonet.com/international/news/2025/08/05/113740-pragmatic-play-launches-horrorthemed-zombie-school-megaways-slot","link"
"https://imagenesyogonet.b-cdn.net/data/imagenes/2025/08/04/78122/1754320875-pragmatic-play-zombie-school-megaways-eng.jpg","image"
"Bill now moves to full Senate","kicker"
"U.S. Senate committee approves military gambling addiction research funding","title"
"https://www.yogonet.com/international/news/2025/08/06/113960-us-senate-committee-approves-military-gambling-addiction-research-funding","link"
"https://imagenesyogonet.b-cdn.net/data/imagenes/2024/05/10/64194/1715346837-juego-slots-generica-21.jpg","image"
"Slotegrator shares insights","kicker"
"A core iGaming principle of 2025: give players control","title"
"https://www.yogonet.com/international/news/2025/08/05/113761-a-core-igaming-principle-of-2025-give-players-control","link"
"https://imagenesyogonet.b-cdn.net/data/imagenes/2025/08/04/78129/1754332645-slotegrator-a-core-igaming-principle-of-2025.jpg","image"
"Upgrades include modern layout","kicker"
"San Diego's Sycuan Casino Resort reopens renovated poker room","title"
"https://www.yogonet.com/international/news/2025/08/04/113433-san-diego-39s-sycuan-casino-resort-reopens-renovated-poker-room","link"
"https://imagenesyogonet.b-cdn.net/data/imagenes/2025/08/04/78094/1754311173-sycuan-casino-resort-renovated-poker-room-02.jpg","image"
"Flagged over 25,000 accounts","kicker"
"Banks in Indonesia instructed to block thousands of gambling-linked accounts","title"
"https://www.yogonet.com/international/news/2025/08/05/113854-banks-in-indonesia-instructed-to-block-thousands-of-gamblinglinked-accounts","link"
"https://imagenesyogonet.b-cdn.net/data/imagenes/2025/08/05/78161/1754403796-financial-services-authority-building-indonesia.jpg","image"
"Focus on Mexico’s growing gaming sector","kicker"
"Pragmatic Play confirms Diamond Sponsorship for GAT Expo México 2025","title"
"https://www.yogonet.com/international/news/2025/08/06/113847-pragmatic-play-confirms-diamond-sponsorship-for-gat-expo-mexico-2025","link"
"https://imagenesyogonet.b-cdn.net/data/imagenes/2025/08/05/78154/1754402608-pragmatic-play-gat-mexico-eng.jpg","image"
"Football Preview event set for August 23","kicker"
"Circa Survivor contest pacing for record $20 million prize pool","title"
"https://www.yogonet.com/international/news/2025/08/05/113877-circa-survivor-contest-pacing-for-record-20-million-prize-pool","link"
"https://imagenesyogonet.b-cdn.net/data/imagenes/2021/08/20/38533/1629469021-circa-resort-casino-las-vegas-02.jpg","image"
"Court approval expected on August 5","kicker"
"VGW shareholders back Laurance Escalante's bid to take firm private","title"
"https://www.yogonet.com/international/news/2025/08/04/113758-vgw-shareholders-back-laurance-escalante-39s-bid-to-take-firm-private","link"
"https://imagenesyogonet.b-cdn.net/data/imagenes/2025/06/02/76154/1748868781-virtual-gaming-worlds.jpg","image"
"Considers legal options over $260M contract","kicker"
"Intralot faces setback in Maryland lottery tender following compliance review","title"
"https://www.yogonet.com/international/news/2025/08/06/113966-intralot-faces-setback-in-maryland-lottery-tender-following-compliance-review","link"
"https://imagenesyogonet.b-cdn.net/data/imagenes/2020/01/29/29961/1625345522-stand-intralot-generica.jpg","image"
"Demographics mirror iGaming players","kicker"
"Most sweepstakes casino users view them as gambling, AGA study finds","title"
"https://www.yogonet.com/international/news/2025/08/05/113858-most-sweepstakes-casino-users-view-them-as-gambling-aga-study-finds","link"
"https://imagenesyogonet.b-cdn.net/data/imagenes/2021/08/27/38727/1630079521-juego-online-generica-12.jpg","image"
"Betsson report","kicker"
"The most popular online games among Latin Americans in June 2025","title"
"https://www.yogonet.com/international/news/2025/08/05/113767-the-most-popular-online-games-among-latin-americans-in-june-2025","link"
"https://imagenesyogonet.b-cdn.net/data/imagenes/2021/03/22/35658/1625368382-juego-online-latinoamerica-generica.jpg","image"
"2024 sees 21% growth","kicker"
"Spain weighs renewed ban on welcome bonuses as online gambling surges","title"
"https://www.yogonet.com/international/news/2025/08/05/113874-spain-weighs-renewed-ban-on-welcome-bonuses-as-online-gambling-surges","link"
"https://imagenesyogonet.b-cdn.net/data/imagenes/2025/05/16/75683/1747400006-apuestas-movil-generica-02.jpg","image"
"Given 14 days to comply","kicker"
"Michigan regulator orders six illegal online gambling sites to shut down","title"
"https://www.yogonet.com/international/news/2025/08/05/113850-michigan-regulator-orders-six-illegal-online-gambling-sites-to-shut-down","link"
"https://imagenesyogonet.b-cdn.net/data/imagenes/2024/08/29/67316/1724936297-apuestas-online-generica-06.jpg","image"
